"","hsa-mir-592","hsa-mir-940","hsa-mir-3651","hsa-mir-206","hsa-mir-4326","hsa-mir-3648","hsa-mir-1976","hsa-mir-3687","hsa-mir-375","hsa-mir-217","hsa-mir-496","hsa-mir-3662","hsa-mir-1254","hsa-mir-944","hsa-mir-137","hsa-mir-378c","hsa-mir-1262","hsa-mir-760","hsa-mir-421","hsa-mir-639","hsa-mir-3917","hsa-mir-3193","hsa-mir-1305","hsa-mir-3170","hsa-mir-3615","hsa-mir-1293","hsa-mir-3610","hsa-mir-133b","y_train"
"37",0.979078032031,2.39878610945,0.4735,12.6378387228,2.54995593114,0.662422356278,2.03841769059,0.829430571302,4.19282356203,3.66163916884,1.8176754472,0.9791,0.71910030543589,7.27835643139,0.2561,3.49768984975,1.23859463645,0.829430571302,2.03842756098,0.55183411562663,1.35271621287,0.48332488652959,0.473518788051,1.11472896225,2.10507371655,0.979158569592,1.35271621287,7.97046098141,1
"195",1.53009624877029,0.4975,2.57068676363,10.6521559244,4.1603135163,1.07344110443617,2.84319156311,0.88917944515894,9.98331851205,3.86666470295,0.8667,1.61292993107,1.61292993107,7.73773699149,0.87010445436011,1.9568,1.16046531741,0.55526729832277,0.866733996407,0.45294998098283,1.11286336119287,0.4975,1.79511259095,0.8667,2.84316654759,3.44381318998,0.62994550596613,4.63695701837,0
"12",2.44912980156,2.32615355219,3.52135886701,5.38599754012,3.3739825231,3.31057927821,3.72978170032,1.08087622006,8.06718293524,2.11955810751,1.47732172976,4.42758318493,0.532195425591,7.35397611533,1.2068727632851,2.04355218256,0.920107543714,0.532195425591,2.56238481464,0.2905,1.35695994282,0.76123814504705,0.739067461219,0.7391,2.44909826722,3.72979830504,0.2905,0.920034616723,0
"57",3.1303046372,1.84216804019,0.719292010881,5.41944463058,1.32663141816,0.719292010881,2.85763180605,1.5553661444,6.34247768162,2.221109451,0.71925819164,1.75277769703,0.86747022275573,8.4299030108,0.79025475669665,3.90732699086,0.516938911589,0.2815,0.896692883651,1.44552814594,0.896692883651,1.05470884637,0.2815,0.8967,2.76921269573,2.08129718261,1.75271512645,1.84218536512,0
"63",2.37833931097,2.37835282521,0.746172395534,3.38993413728,1.14998084024,2.04120999487,2.52140342563,2.79920096345,5.4351325232,2.17700525972,1.89109348875,2.1330862133,0.345914525305,9.99144660574,0.345914525305,3.33285278207,1.31626111397,1.72370684847,1.99284356699,0.962220265333,1.60025349871,0.3459,0.746196981492,1.72373661185,2.65143811839,1.15006359633,1.72380977817,0.624709182073,0
"221",1.68018752258,1.40797265439,0.3512,1.90915598769,2.10673471667,1.24981307699,4.47381984286,0.633424175793,9.45384107438,2.28045827258,1.0720954201,0.93691122140039,0.78531215887113,6.84322988016,1.79926507444,2.28045991286,0.869368964164,0.3512,0.869368964164,0.3512,1.24978153709,0.869368964164,0.923605549520661,0.6334,2.87554473285,3.83074796614,0.633424175793,0.6334,0
"27",1.15511648436,1.34129104837,0.690220855802,6.16106237913,1.65414850197,1.50619138711,2.56269551086,0.690220855802,14.0017173427,4.86905638118,0.941311006153,1.50622573146,0.84696765108654,10.3294367648,0.874404198564859,3.00998430294,1.5061795405,1.34129598821,1.78829027344,1.15512597446,2.63580226692,0.9413,0.6522269927922,1.3413,1.65411262941,2.02422870541,1.91105517353,1.91104330887,1
"204",2.09812273654,2.01045500136,1.59424160669,10.6878637051,5.59105383057,0.3247,2.96632095062,0.3247,5.4313868189,4.05746220804,0.589579388231,3.14162314067,2.33300443824,8.19377769055,4.20293614354,3.22182116236,1.00693523668,1.00691980248,2.47081926097,0.589579388231,2.09804475919,0.3247,2.59657897944,1.0166170641674,3.18229225992,1.91708946369,0.589579388231,5.72785290693,1
"41",1.39018002447,2.20242967457,0.2389,13.3699745793,2.20244489108,1.39007571856,3.39873981817,0.782719022038,6.84576691762,3.51699177539,2.31113797487,0.4439,0.91250369966548,7.74939438979,1.0571049633,4.87188264818,0.926420161053,0.2389,2.55177513767,0.92648959845,1.88819328796,0.6233,0.623190413691,0.56396385220308,2.63779139348,3.96259295949,0.926420161053,8.47004821365,1
"200",3.09441196465,2.05035755422,2.73458563728,12.1699033292,6.96710271808,1.17431386636,3.6937461954,0.3942,6.05899057761,6.73567947514,1.36239419832,2.92568792393,0.958036733163,7.2099354126,1.1743,1.81295437558,0.958019619831,1.17432859708,2.4326510601,0.3942,2.43267654352,0.703479584583,1.93652470798,0.958,2.80110314306,1.52872426309,0.958019619831,6.93780921227,0
